股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市板块,上市交易日天数,涨跌幅:前复权,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,注册地址,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
603270.SH,金帝股份,29.91,20231222,63627207.23,35668291.23,27958916.0,日涨幅偏离值达7%的证券,单日榜,主板,75,10.00367782,0.5605823795010529,1/69,山东省聊城市东昌府区郑家镇工业区66号,27.2,29.91,27.2,29.91,9.966899,1.0607317E7,603270
603193.SH,润本股份,18.88,20231222,73021721.09,38221595.75,34800125.34,日换手率达20%的证券,单日榜,主板,49,9.89522701,0.5234277579255013,3/69,广东省广州市黄埔区经济技术开发区新庄五路3号,17.25,18.9,17.04,18.88,10.826542,2.6186151E7,603193
001239.SZ,永达股份,25.19,20231222,78660265.93,15780568.78,62879697.15,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,主板,9,10,0.20061677383652848,12/69,湖南省湘潭市雨湖区九华工业园伏林路1号,24.99,25.19,22.22,25.19,12.969432,2.0143867E7,001239
002748.SZ,世龙实业,11.74,20231222,41456967.0,7703015.0,33753952.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,主板,2136,10.02811621,0.18580749045148431,14/69,江西省景德镇市乐平市工业园区(世龙科技园),11.74,11.74,11.74,11.74,0,2875500,002748
603628.SH,清源股份,13.04,20231222,43823585.0,8071838.0,35751747.0,日涨幅偏离值达7%的证券,单日榜,主板,1689,10.04219409,0.18418935831014283,15/69,福建省厦门市翔安区火炬高新区(翔安)产业区民安大道1001号、1003号、1005号、1007号、1009号,11.88,13.04,11.85,13.04,10.042194,2.6024383E7,603628
002103.SZ,广博股份,8.86,20231222,106853160.0,17405510.0,89447650.0,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,主板,4124,10.0621118,0.16289186019393342,17/69,浙江省宁波市海曙区石碶街道车何,8.05,8.86,8.05,8.86,10.062111,1.46636081E8,002103
603628.SH,清源股份,13.04,20231222,54355800.42,8756367.3,45599433.12,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,主板,1689,10.04219409,0.16109352143360453,18/69,福建省厦门市翔安区火炬高新区(翔安)产业区民安大道1001号、1003号、1005号、1007号、1009号,11.88,13.04,11.85,13.04,10.042194,2.6024383E7,603628
002786.SZ,银宝山新,18.36,20231222,673016928.17,82627004.7,590389923.47,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,主板,1947,7.4941452,0.1227710645030446,19/69,广东省深圳市宝安区石岩街道官田社区宝石东路塘坑路口东1号603室/606室,17.34,18.62,16.96,18.36,9.718969,1.39279499E8,002786
600630.SH,龙头股份,15.10,20231222,175962117.38,13724014.24,162238103.14,日换手率达20%的证券,单日榜,主板,7522,4.93398193,0.07799414126372568,20/69,上海市黄浦区制造局路584号8号楼2楼201室,15.2,15.83,14.35,15.1,10.28492,1.96128492E8,600630
002306.SZ,中科云网,4.91,20231222,102466439.55,6699675.82,95766763.73,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,主板,3433,10.0896861,0.06538409892470984,21/69,北京市海淀区莲花池东路53号6层619,4.42,4.91,4.36,4.91,12.331838,1.4376283E8,002306
001239.SZ,永达股份,25.19,20231222,54060964.29,3461985.14,50598979.15,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,主板,9,10,0.0640385384439098,22/69,湖南省湘潭市雨湖区九华工业园伏林路1号,24.99,25.19,22.22,25.19,12.969432,2.0143867E7,001239
