股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600719.SH,大连热电,9.99,20240628,98425818.4,65218877.26,33206941.14,日涨幅偏离值达7%的证券,单日榜,0.6626196085558786,3/60,供电+供暖+国企,10.022,6779,4041950000.000,9.18,9.99,9.05,9.99,10.352,44668848.00,600719
000049.SZ,德赛电池,23.45,20240628,97843096.9,59973308.2,37869788.7,日涨幅偏离值达7%的证券,单日榜,0.612953903751589,5/60,苹果或采用新电池技术+锂电池+封装,9.991,7108,9016458500.000,21.32,23.45,21.32,23.45,9.991,15008859.00,000049
603356.SH,华菱精工,13.20,20240628,39276111.6,22009191.6,17266920.0,日涨幅偏离值达7%的证券,单日榜,0.5603709405897502,8/60,增持+电梯+光伏+风电,10.000,1558,1760088000.000,13.20,13.20,13.20,13.20,0.000,2975463.00,603356
000882.SZ,华联股份,0.93,20240628,47520336.21,25941319.21,21579017.0,日振幅值达15%的证券,单日榜,0.5458993197220058,10/60,,5.682,6313,2545733700.000,0.86,0.95,0.79,0.93,18.182,200868080.00,000882
603267.SH,鸿远电子,34.10,20240628,68169294.0,29701368.0,38467926.0,日涨幅偏离值达7%的证券,单日榜,0.4357000968793956,13/60,商业航天+军工电子+瓷介电容器+汽车电子,10.000,1245,7905935000.000,31.02,34.10,30.98,34.10,10.065,9209703.00,603267
000628.SZ,高新发展,44.37,20240628,233836270.44,98671927.44,135164343.0,日换手率达20%的证券,单日榜,0.4219701556748794,14/60,,5.142,6693,8522325200.000,41.90,46.42,41.60,44.37,11.422,41427233.00,000628
002296.SZ,辉煌科技,10.31,20240628,67187259.0,25617720.0,41569539.0,日涨幅偏离值达7%的证券,单日榜,0.3812883630213282,18/60,轨道交通+卫星导航+储能+一季报增长,10.032,3580,3581853200.000,9.44,10.31,9.38,10.31,9.925,37931416.00,002296
002130.SZ,沃尔核材,14.12,20240628,309297555.85,114087576.85,195209979.0,日涨幅偏离值达7%的证券,单日榜,0.36886025994117144,20/60,铜缆高速连接+核电+机器人,9.969,4179,17637986000.000,12.99,14.12,12.99,14.12,8.801,120248454.00,002130
600361.SH,创新新材,4.03,20240628,41600592.69,15205091.33,26395501.36,日涨幅偏离值达7%的证券,单日榜,0.36550179569088254,21/60,铝合金+汽车轻量化+小米汽车+消费电子,10.109,5477,4023560700.000,3.73,4.03,3.61,4.03,11.475,77314546.00,600361
002600.SZ,领益智造,7.12,20240628,449430300.68,154793481.03,294636819.65,日涨幅偏离值达7%的证券,单日榜,0.34442155056255297,22/60,果链+苹果Vision Pro+人形机器人,10.046,3147,49081987000.000,6.35,7.12,6.32,7.12,12.365,595556950.00,002600
603042.SH,华脉科技,10.44,20240628,25530690.0,7602928.0,17927762.0,日涨幅偏离值达7%的证券,单日榜,0.29779563341217963,23/60,铜缆综合布线+5G+数据中心+通信设备,10.011,1720,1676557900.000,9.46,10.44,9.45,10.44,10.432,12886909.00,603042
002600.SZ,领益智造,7.12,20240628,737226349.71,139300347.19,597926002.52,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.1889519375491612,26/60,果链+苹果Vision Pro+人形机器人,10.046,3147,49081987000.000,6.35,7.12,6.32,7.12,12.365,595556950.00,002600
