股票代码,股票简称,最新价,营业部净额合计,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日上榜次数,营业部净额合计/当日上榜次数,营业部净额合计/当日上榜次数排名,营业部买入金额合计,营业部卖出金额合计,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600105.SH,永鼎股份,38.1,656920301.71,6914,9.988452655889148,光通信+超导带材+可控核聚变+业绩预增,1,656920301.71,1/64,3130276977.62,2473356675.91,55702002000.000,34.65,38.1,33.98,38.1,11.894,233129977,600105
001309.SZ,德明利,447.24,493329699.22,915,10.000491908111572,存储芯片+业绩暴增,1,493329699.22,2/64,1834276550.01,1340946850.79,71950153000.000,428.0,447.24,423.0,447.24,5.962,23225744,001309
603306.SH,华懋科技,101.8,421556942.32,2801,4.883577168761585,,1,421556942.32,4/64,1272903958.42,851347016.1,33542575000.000,98.0,103.79,96.19,101.8,7.830,28239901,603306
002074.SZ,国轩高科,38.81,326411233.73,4734,10.005668934240365,固态电池+储能订单+动力电池,1,326411233.73,6/64,654743704.73,328332471.0,67381626000.000,35.7,38.81,35.68,38.81,8.872,104898811,002074
002263.SZ,大东南,4.9,324625720.79,4300,10.1123595505618,特高压电容膜+国企改革,1,324625720.79,7/64,438922625.76,114296904.97,9203891000.000,4.31,4.9,4.31,4.9,13.258,421227760,002263
000762.SZ,西藏矿业,33.88,243200793.18,6973,10.000000000000005,锂盐湖+二期爬坡+宝武央企,1,243200793.18,8/64,653426815.48,410226022.3,17644725000.000,30.8,33.88,30.51,33.88,10.942,82707544,000762
002082.SZ,万邦德,29.8,211112355.32,4711,-7.625542467451945,,1,211112355.32,9/64,1007850458.98,796738103.66,16486937000.000,30.19,30.7,29.21,29.8,4.619,72874414,002082
002364.SZ,中恒电气,35.12,192131222.6,3910,9.990604447228305,宁德时代入股+HVDC+数据中心电源,1,192131222.6,10/64,214293106.6,22161884.0,19600604000.000,35.12,35.12,35.12,35.12,0.000,3389150,002364
600103.SH,青山纸业,3.91,189537195.26,6976,10.140845070422543,光模块+林浆纸+福建国资,1,189537195.26,11/64,208813104.26,19275909.0,8650206600.000,3.91,3.91,3.91,3.91,0.000,92080686,600103
600345.SH,长江通信,54.36,150069440.52,6131,9.995953055443135,参股长飞光纤+商业航天+央企,1,150069440.52,12/64,414847725.4,264778284.88,11500363400.000,53.28,54.36,52.52,54.36,3.723,25849154,600345
002962.SZ,五方光电,16.91,121769825.6,1589,10.01951854261549,玻璃晶圆+微棱镜量产+AR/VR拓展,1,121769825.6,13/64,191765186.0,69995360.4,3537301500.000,16.29,16.91,16.01,16.91,5.856,35830158,002962
603773.SH,沃格光电,43.14,114348880.03,1937,9.994900560938301,玻璃基板+CPO+商业航天,1,114348880.03,15/64,311889309.05,197540429.02,9691773400.000,40.5,43.14,39.68,43.14,8.822,31053033,603773
002824.SZ,和胜股份,25.27,106220994.45,2242,10.013060513713542,消费电子+AI终端+电池结构件,1,106220994.45,16/64,300398540.19,194177545.74,5559428800.000,24.77,25.27,24.32,25.27,4.136,27751906,002824
600707.SH,彩虹股份,7.02,201503953.64,7251,10.03134796238244,玻璃基板+ITC胜诉+国企改革,2,100751976.82,17/64,287049904.7,85545951.06,25185442000.000,7.02,7.02,6.88,7.02,2.194,92414134,600707
002580.SZ,圣阳股份,18.98,162436559.42,3627,10.02898550724638,储能电池+液冷+山东国资,2,81218279.71,18/64,580045355.6,417608796.18,8585390400.000,17.25,18.98,16.84,18.98,12.406,187990940,002580
603093.SH,南华期货,19.31,41250155.66,1600,10.028490028490017,期货经纪+境外清算+年报增长,1,41250155.66,19/64,66409804.0,25159648.34,11780372400.000,17.71,19.31,17.7,19.31,9.174,10837800,603093
002328.SZ,新朋股份,10.11,32260625.76,3951,10.01088139281828,液冷服务器+汽车零部件+特斯拉+回购,1,32260625.76,20/64,198842603.32,166581977.56,5770706100.000,9.78,10.11,9.66,10.11,4.897,71999775,002328
000889.SZ,中嘉博创,4.35,16712023.8,6859,10.126582278480997,算力销售+5G消息+短信通道,1,16712023.8,24/64,148093592.0,131381568.2,3783846100.000,4.35,4.35,4.1,4.35,6.329,179046890,000889
