股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600110.SH,诺德股份,17.22,20260617,161894949.3,117720483.3,44174466.0,日涨幅偏离值达7%的证券,单日榜,6956,10.031948881789129,铜箔+HVLP+固态电池+满产满销,0.7271411727728309,3/136,29879816000.000,17.22,17.22,17.22,17.22,0.000,16223595,600110
603618.SH,杭电股份,51.73,20260617,949763139.45,621971342.57,327791796.88,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,2751,9.993621092919403,光纤涨价+铜箔+特高压,0.6548699530813319,4/136,35764861000.000,48.0,51.73,48.0,51.73,7.931,30998139,603618
600876.SH,凯盛新能,9.42,20260617,51103286.0,32751807.0,18351479.0,日涨幅偏离值达7%的证券,单日榜,7428,10.04672897196261,光伏玻璃+产线退出预期+央企,0.6408943448372381,5/136,3727258200.000,8.61,9.42,8.6,9.42,9.579,7718300,600876
600579.SH,中化装备,7.5,20260617,43761148.35,26752954.49,17008193.86,日振幅值达15%的证券,单日榜,5790,9.970674486803514,中字头+资产重组+化工装备+机器人概念,0.611340321237251,6/136,3702005700.000,6.78,7.5,6.52,7.5,14.370,20524576,600579
000725.SZ,京东方A,6.71,20260617,2522741196.62,1502375071.7,1020366124.92,日涨幅偏离值达7%的证券,单日榜,6162,10.000000000000005,玻璃基封装载板+康宁合作+光互连+半导体显示,0.5955327774854198,7/136,237313470000.000,6.06,6.71,6.05,6.71,10.820,1855020600,000725
603458.SH,勘设股份,14.72,20260617,157634940.0,90133219.6,67501720.4,日振幅值达15%的证券,单日榜,2148,10.014947683109117,数据中心+工程咨询+北斗技术+无人驾驶,0.5717845269583,8/136,4506152800.000,13.21,14.72,12.72,14.72,14.948,38541859,603458
603773.SH,沃格光电,166.13,20260617,820820132.8,459555519.9,361264612.9,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1982,9.998013639674234,TGV玻璃基板+先进封装+PET铜箔,0.5598735965848619,9/136,37325861000.000,155.68,166.13,155.68,166.13,6.919,11938070,603773
600636.SH,退市国化,1.85,20260617,15784136.51,8565577.57,7218558.94,退市整理证券,单日榜,8095,2.2099447513812174,,0.542670013311992,10/136,811478080.000,1.83,1.88,1.76,1.85,6.630,12616530,600636
600615.SH,鑫源智造,11.04,20260617,96057327.24,50261359.37,45795967.87,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,8223,9.9601593625498,智能割草机器人+无人割草机+轻量化+比亚迪概念,0.5232433674156016,13/136,2486937200.000,10.04,11.04,9.8,11.04,12.351,14665512,600615
002851.SZ,麦格米特,178.9,20260617,4770030717.8,2416929593.31,2353101124.49,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,2255,9.325348325592776,,0.5066905720944118,15/136,81981267000.000,169.07,179.98,168.0,178.9,7.321,62083287,002851
000100.SZ,TCL科技,5.12,20260617,2180657722.71,999954783.83,1180702938.88,日涨幅偏离值达7%的证券,单日榜,5440,10.107526881720423,面板+回购+一季报增长,0.45855650495544614,17/136,97956016000.000,4.6,5.12,4.59,5.12,11.398,2131314800,000100
603175.SH,超颖电子,102.97,20260617,384151029.31,172871014.98,211280014.33,日换手率达20%的证券,单日榜,157,9.368029739776944,,0.45000794424657786,18/136,4682482500.000,95.58,103.57,94.44,102.97,9.697,11407304,603175
603175.SH,超颖电子,102.97,20260617,466321106.67,200443512.04,265877594.63,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,157,9.368029739776944,,0.42984010196614847,21/136,4682482500.000,95.58,103.57,94.44,102.97,9.697,11407304,603175
600608.SH,退市沪科,0.18,20260617,556164.0,214407.0,341757.0,退市整理证券,单日榜,8341,0.0,,0.3855103890219432,25/136,57306859.000,0.18,0.19,0.17,0.18,11.111,5277288,600608
600703.SH,三安光电,17.16,20260617,4066300828.44,1558608781.19,2507692047.25,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,7290,1.900237529691213,,0.38329893604747056,26/136,85611561000.000,16.96,17.43,16.79,17.16,3.801,353105061,600703
600186.SH,莲花控股,14.66,20260617,779411556.03,297797009.19,481614546.84,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6739,9.977494373593398,算力+阶跃星辰投资+半导体材料+调味品龙头,0.38207928389829726,27/136,26228767000.000,13.57,14.66,13.54,14.66,8.402,208008773,600186
600353.SH,旭光电子,38.19,20260617,355222248.8,124035942.8,231186306.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,5723,9.994239631336402,氮化铝+韩国客户+真空灭弧室+可控核聚变,0.34917841779059194,29/136,31652298000.000,38.19,38.19,37.38,38.19,2.333,29170702,600353
601117.SH,中国化学,8.22,20260617,358509770.0,124538471.02,233971298.98,日涨幅偏离值达7%的证券,单日榜,3991,10.040160642570292,脱硫技术+芯片+化学工程+中字头,0.3473781788987229,30/136,50043914000.000,7.44,8.22,7.36,8.22,11.513,191455123,601117
002585.SZ,双星新材,14.86,20260617,988989183.72,321427240.59,667561943.13,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3653,6.06709493219129,,0.3250058199635494,33/136,13177205100.000,13.56,15.18,13.52,14.86,11.849,289001450,002585
002938.SZ,鹏鼎控股,119.01,20260617,1726792692.44,560888885.47,1165903806.97,日涨幅偏离值达7%的证券,单日榜,1875,10.000924299842875,PCB+AI算力扩产+光模块,0.32481541526415103,34/136,274839630000.000,105.54,119.01,105.54,119.01,12.450,64319880,002938
600549.SH,厦门钨业,80.84,20260617,4150092507.15,1230423232.81,2919669274.34,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,5732,3.099094503252145,,0.2964809171579095,36/136,125619861000.000,80.0,82.89,76.8,80.84,7.767,166560921,600549
