股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,营业部净额合计,上市交易日天数,涨跌幅:前复权,涨停原因类别,营业部买入金额合计,营业部卖出金额合计,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,code
601011.SH,宝泰隆,3.04,20260819,281287143.56,256615869.4,24671274.16,日涨幅偏离值达7%的证券;当日融资买入数量达到当日该证券总交易量的50％以上,单日榜,0.9122914974081014,1/75,256615869.4,3755,10.144927536231894,石墨烯导热膜+煤化工+石墨矿,281287143.56,24671274.16,5823620200.000,2.99,3.04,2.96,3.04,2.898550724637684,601011
603801.SH,志邦家居,6.57,20260819,37371689.72,24647074.72,12724615.0,日涨幅偏离值达7%的证券,单日榜,0.6595119167654269,2/75,24647074.72,2220,10.050251256281417,定制家居+整家一体化+老房焕新+海外业务,37371689.72,12724615.0,2853689200.000,6.15,6.57,6.15,6.57,7.035175879396983,603801
600783.SH,鲁信创投,20.19,20260819,222389276.37,140775239.37,81614037.0,日涨幅偏离值达7%的证券,单日榜,0.6330127138674857,3/75,140775239.37,7186,10.027247956403269,参股蓝箭航天+创投+机器人+山东国资,222389276.37,81614037.0,15028614000.000,20.19,20.19,19.83,20.19,1.9618528610354384,600783
603113.SH,金能科技,5.15,20260819,59457350.86,35663703.94,23793646.92,日涨幅偏离值达7%的证券,单日榜,0.5998199284723396,4/75,35663703.94,2254,10.042735042735057,焦炭+炭黑+化工涨价,59457350.86,23793646.92,4369726700.000,4.69,5.15,4.64,5.15,10.897435897435912,603113
000505.SZ,京粮控股,7.47,20260819,106639067.38,47792367.54,58846699.84,日涨幅偏离值达7%的证券,单日榜,0.44816940652430526,6/75,24555197.62,8184,10.014727540500733,粮食概念+油脂加工+国企改革,129697185.46,105141987.84,4723881100.000,6.93,7.47,6.91,7.47,8.247422680412365,000505
601015.SH,陕西黑猫,3.71,20260819,119421508.1,46006645.56,73414862.54,日涨幅偏离值达7%的证券,单日榜,0.3852458932395613,7/75,46006645.56,2867,10.089020771513349,煤炭+焦炭+煤矿投产,119421508.1,73414862.54,7577666200.000,3.4,3.71,3.39,3.71,9.495548961424326,601015
000723.SZ,美锦能源,3.89,20260819,126260782.8,48442589.52,77818193.28,日涨幅偏离值达7%的证券,单日榜,0.38367091067963827,8/75,48442589.52,7098,9.887005649717516,焦炭+氢能全产业链+中报预计减亏,126260782.8,77818193.28,17097235000.000,3.56,3.89,3.54,3.89,9.887005649717516,000723
002953.SZ,日丰股份,11.73,20260819,94061407.0,25764712.0,68296695.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.27391374232792415,12/75,25764712.0,1769,10.0375234521576,拟投资+光纤预制棒+机器人电缆+通信装备组件,94061407.0,68296695.0,3299517200.000,11.73,11.73,11.6,11.73,1.2195121951219585,002953
603580.SH,艾艾精工,67.99,20260819,362176105.8,96045992.62,266130113.18,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.2651914112551596,13/75,96045992.62,2244,6.20118712902218,,362176105.8,266130113.18,8884470900.000,65.0,70.3,61.11,67.99,14.354889097157136,603580
000505.SZ,京粮控股,7.47,20260819,129697185.46,24555197.62,105141987.84,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.1893271433216497,16/75,24555197.62,8184,10.014727540500733,粮食概念+油脂加工+国企改革,129697185.46,105141987.84,4723881100.000,6.93,7.47,6.91,7.47,8.247422680412365,000505
600172.SH,黄河旋风,14.42,20260819,432737441.09,77261629.84,355475811.25,日振幅值达15%的证券,单日榜,0.17854158781682877,17/75,77261629.84,6718,0.6983240223463663,,432737441.09,355475811.25,18503724000.000,13.58,15.7,13.28,14.42,16.899441340782122,600172
600354.SH,敦煌种业,6.85,20260819,72990616.55,6282517.65,66708098.9,日换手率达20%的证券,单日榜,0.08607294946873552,19/75,6282517.65,5487,-2.0028612303290494,,72990616.55,66708098.9,3615444200.000,7.02,7.68,6.78,6.85,12.875536480686685,600354
001301.SZ,尚太科技,62.33,20260819,250725504.74,15713564.1,235011940.64,日涨幅偏离值达7%的证券,单日榜,0.06267237996507304,20/75,15713564.1,882,10.007059654076954,负极材料+半年报+产能扩张,250725504.74,235011940.64,16211346000.000,59.94,62.33,59.1,62.33,5.700670667137305,001301
001400.SZ,江顺科技,85.94,20260819,132746238.33,4063612.3,128682626.03,日涨幅偏离值达7%的证券,单日榜,0.030611882876093847,23/75,4063612.3,322,9.996160245744276,商业航天+3D打印+铝挤压模具+液冷,132746238.33,128682626.03,3973135100.000,78.82,85.94,77.0,85.94,11.442467682068346,001400
