股票代码,股票简称,最新价,最新涨跌幅,上榜日期,营业部名称,营业部类型,营业部排名,营业部买入金额,该营业部买入金额占总成交比例,营业部卖出金额,该营业部卖出金额占总成交比例,营业部净额,营业部买卖方向,上榜原因,营业部上榜类型,上市交易日天数,code
002855.SZ,捷荣技术,47.09,9.998,20231226,中信建投证券股份有限公司上海浦东南路证券营业部,游资营业部,1,57902357.4,2.295367,47014470.0,1.863749,10887887.4,买入金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,1648,002855
002855.SZ,捷荣技术,47.09,9.998,20231226,中信建投证券股份有限公司上海浦东南路证券营业部,游资营业部,1,57902357.4,2.295367,47014470.0,1.863749,10887887.4,卖出金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,1648,002855
002238.SZ,天威视讯,17.34,10.025,20231226,中信建投证券股份有限公司上海浦东南路证券营业部,游资营业部,2,70079154.02,1.583553,77065639.66,1.741425,-6986485.64,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3793,002238
002238.SZ,天威视讯,17.34,10.025,20231226,中信建投证券股份有限公司上海浦东南路证券营业部,游资营业部,3,70079154.02,1.583553,77065639.66,1.741425,-6986485.64,卖出金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3793,002238
002855.SZ,捷荣技术,47.09,9.998,20231226,中信建投证券股份有限公司上海浦东南路证券营业部,游资营业部,1,101295493.4,1.447403,47014470.0,0.671786,54281023.4,卖出金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1648,002855
002855.SZ,捷荣技术,47.09,9.998,20231226,中信建投证券股份有限公司上海浦东南路证券营业部,游资营业部,1,101295493.4,1.447403,47014470.0,0.671786,54281023.4,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1648,002855
002238.SZ,天威视讯,17.34,10.025,20231226,中信建投证券股份有限公司上海浦东南路证券营业部,游资营业部,1,1641.0,0.000111,77065639.66,5.201175,-77063998.66,卖出金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,3793,002238
001314.SZ,亿道信息,70.11,-0.694,20231226,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,2,17832967.0,1.641017,17552505.0,1.615208,280462.0,买入金额最大的前5名,日换手率达20%的证券,单日榜,214,001314
002786.SZ,银宝山新,18.40,-8.911,20231226,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,376969.0,0.010793,192455708.04,5.510267,-192078739.04,卖出金额最大的前5名,日振幅值达15%的证券,单日榜,1949,002786
001314.SZ,亿道信息,70.11,-0.694,20231226,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,17832967.0,1.641017,17552505.0,1.615208,280462.0,卖出金额最大的前5名,日换手率达20%的证券,单日榜,214,001314
603332.SH,苏州龙杰,12.05,-4.137,20231226,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,0.0,0.0,26422923.36,4.071738,-26422923.36,卖出金额最大的前5名,日振幅值达15%的证券,单日榜,1200,603332
001300.SZ,三柏硕,24.24,9.982,20231226,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,49165466.0,4.753869,21981084.95,2.125378,27184381.05,卖出金额最大的前5名,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,292,001300
001300.SZ,三柏硕,24.24,9.982,20231226,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,49165466.0,4.753869,21981084.95,2.125378,27184381.05,买入金额最大的前5名,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,292,001300
