stock_code,stock_name,total_appearances,first_appear_date,last_appear_date,days_since_last,avg_net_buy_ratio,max_net_buy_ratio,positive_net_ratio,total_net_amount,avg_net_amount,total_buy_amount,avg_net_buy_rank,best_net_buy_rank,three_day_ratio,avg_change_pct,max_change_pct,last_market_cap,last_close_price,main_themes,limit_up_list_ratio,last_list_reason,avg_gap_days,max_gap_days,recent_gap_days,recent_30d_count,dragon_score,score_fund,score_persist,score_pattern,score_cap,score_decay,current_stage
002498.SZ,汉缆股份,11,2026-02-02,2026-05-13,2,0.4858592535089306,0.7546677679107396,1.0,3358788045.63,279899003.8025,6865586684.42,12.583333333333334,1.0,0.33,9.34499666810875,10.08130081,36628024000.0,11.01,500kV海缆+特高压+海上风电+一季报增长,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",10.0,27,1,3,67.4,21.1,15.5,30.0,0.8,0.0,🔵 持续活跃
601016.SH,节能风电,5,2026-03-11,2026-05-06,9,0.4366699729624727,0.7633390620964361,1.0,1309795453.19,261959090.638,3311691616.7900004,11.0,1.0,0.4,10.036417623737705,10.109289617486342,28319151000.0,4.69,风电+储能突破+绿电扩张+央企,1.0,日涨幅偏离值达7%的证券,14.0,29,13,2,65.6,20.3,14.3,30.0,1.0,0.0,🟡 洗盘观察期
002081.SZ,金螳螂,6,2026-04-20,2026-05-15,0,0.4224224632043085,0.554907922958183,1.0,779238912.5600001,129873152.09333335,1884974949.96,13.833333333333334,5.0,0.5,8.149900031864506,10.061601642710476,20757310000.0,7.85,半导体洁净室+海外EPC+城市更新,0.8333333333333334,日振幅值达15%的证券,5.0,16,16,6,65.2,19.1,15.4,29.2,1.5,0.0,⚪ 已过热
002263.SZ,大东南,3,2026-03-27,2026-04-10,35,0.36339561816585403,0.6968059386377663,1.0,325259597.13,162629798.565,649917043.73,19.0,5.0,0.33,10.037453183520606,10.1123595505618,9203891000.0,4.9,特高压电容膜+国企改革,1.0,日涨幅偏离值达7%的证券;日换手率达20%的证券,7.0,8,8,0,59.8,15.6,12.3,30.0,3.6,-1.7,⚫ 已冷却
600187.SH,国中水务,15,2024-07-22,2024-09-26,596,0.3876025367177182,0.7301245875350789,1.0,685224085.46,36064425.55052632,1948031082.44,13.157894736842104,2.0,0.32,7.7274155537894735,10.323,5180237300.0,3.21,拟控股北京汇源+污水处理,0.6842105263157895,日跌幅偏离值达7%的证券,4.7,21,3,0,58.6,18.5,15.8,28.4,5.8,-10.0,⚫ 已冷却
002407.SZ,多氟多,2,2026-04-24,2026-05-15,0,0.7177836640577542,0.7756993829687878,1.0,1491200914.51,745600457.255,2085301516.55,2.5,2.0,0.0,10.000883688515867,10.015082956259429,39342645000.0,36.47,氢氟酸涨价+大圆柱电池+一季报暴增,1.0,日涨幅偏离值达7%的证券,21.0,21,21,2,58.0,25.3,9.0,23.0,0.7,0.0,🟢 二次启动信号
000889.SZ,中嘉博创,3,2026-04-10,2026-04-17,28,0.31710961683527855,0.3920837732179165,1.0,149577795.17000002,74788897.58500001,432105188.59999996,25.0,18.0,0.33,8.634460140777504,10.126582278480996,4601504800.0,5.29,算力销售+5G消息+短信通道,0.5,日换手率达20%的证券,3.5,5,2,2,57.8,11.7,12.3,27.5,6.3,0.0,🟡 洗盘观察期
001333.SZ,光华股份,3,2025-03-07,2025-03-31,410,0.43878609500146215,0.6114797281622243,1.0,107304027.58000001,35768009.193333335,235415054.16000003,11.333333333333334,3.0,0.67,6.160322661666666,10.008665511,1160720000.0,26.38,年报增长+聚酯树脂+海外产能扩张,0.6666666666666666,"连续三个交易日内,涨幅偏离值累计达20%的证券",12.0,21,21,0,57.7,15.4,14.3,28.3,9.7,-10.0,⚫ 已冷却
002325.SZ,洪涛股份,6,2024-01-23,2024-03-08,798,0.42495234165961976,0.5902600515338041,1.0,153894376.04,25649062.673333332,351295226.90999997,11.166666666666666,4.0,0.33,10.044,10.191,2533168800.0,1.76,氢能源+预重整+控制权拟变更+建筑装饰+华为,0.6666666666666666,日振幅值达15%的证券,9.0,22,8,0,57.6,16.3,14.4,28.3,8.5,-10.0,⚫ 已冷却
002310.SZ,东方新能,4,2026-03-19,2026-03-27,49,0.5173373757602487,0.7926119486969073,1.0,1192069708.8,238413941.76,2165405875.35,9.6,1.0,0.2,8.13003994231195,10.126582278481008,16124351000.0,3.84,重大资产重组+风光电站+北京国资,0.6,日振幅值达15%的证券,2.7,5,2,0,57.6,21.5,12.4,28.0,2.0,-6.3,⚫ 已冷却
