股票代码,股票简称,营业部买入金额合计[20230505],营业部买入金额合计排名[20230505],最新涨跌幅,a股市值(不含限售股)[20230505],收盘价:不复权[20230505],总市值[20230505],市净率(pb)[20230505]
002351.SZ,漫步者,709883782.0,2/5191,2.949,11161378200.000,22.69,20173837830.0,8.497
601900.SH,南方传媒,589619863.57,3/5191,9.601,19942212000.000,22.26,19942212359.16,2.673
002292.SZ,奥飞娱乐,416224567.0,5/5191,9.980,10962334200.000,11.24,16620584594.28,5.104
600228.SH,返利科技,273824933.84,12/5191,-2.001,3958699100.000,14.20,10363126658.4,9.160
002517.SZ,恺英网络,269904940.0,13/5191,-9.091,31461728000.000,16.50,35516540961.0,7.419
601949.SH,中国出版,269192143.64,14/5191,10.037,21979350000.000,12.06,21979350000.0,2.679
002602.SZ,世纪华通,196548260.0,17/5191,-9.970,40993463000.000,5.96,44417239529.28,1.819
600825.SH,新华传媒,184445900.23,20/5191,2.645,6488753500.000,6.21,6488753548.5,2.592
600105.SH,永鼎股份,163437622.1,22/5191,-9.957,8616940700.000,6.24,8768148848.16,2.963
603999.SH,读者传媒,144342603.26,25/5191,3.691,5178240000.000,8.99,5178240000.0,2.767
002401.SZ,中远海科,114691111.0,31/5191,10.004,9102360400.000,24.74,9200918814.4,6.119
