文档ID,URL,标题,点击,曝光,平均排名,分档,建议动作
exness-agent/Exness的资金安全,/exness-agent/Exness的资金安全,Exness的资金安全,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-agent/个人专区报告功能介绍,/exness-agent/个人专区报告功能介绍,个人专区报告功能介绍,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-agent/介绍经纪商,/exness-agent/介绍经纪商,介绍经纪商,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-agent/关于内部转账,/exness-agent/关于内部转账,关于内部转账,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-agent/合作伙伴如何知道他们介绍经纪商IB水平的变化,/exness-agent/合作伙伴如何知道他们介绍经纪商IB水平的变化,合作伙伴如何知道他们介绍经纪商IB水平的变化,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-agent/在哪里可以查看我推介客户的交易活动情况及交易量,/exness-agent/在哪里可以查看我推介客户的交易活动情况及交易量,在哪里可以查看我推介客户的交易活动情况及交易量,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-agent/如何加入Exness合作伙伴计划,/exness-agent/如何加入Exness合作伙伴计划,如何加入Exness合作伙伴计划,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-agent/如何提取您的合作伙伴佣金,/exness-agent/如何提取您的合作伙伴佣金,如何提取您的合作伙伴佣金,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-agent/我可以使用合作伙伴链接创建自定义合作伙伴链接吗,/exness-agent/我可以使用合作伙伴链接创建自定义合作伙伴链接吗,我可以使用合作伙伴链接创建自定义合作伙伴链接吗,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/exness-意见门户介绍,/exness-trader/exness-意见门户介绍,Exness 意见门户介绍,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/exness-提供的石油是差价合约，还是期货,/exness-trader/exness-提供的石油是差价合约，还是期货,Exness 提供的石油是差价合约，还是期货?,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/exness-账户支持哪些订单类型,/exness-trader/exness-账户支持哪些订单类型,Exness 账户支持哪些订单类型？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/exness交易应用-了解业绩统计选项卡,/exness-trader/exness交易应用-了解业绩统计选项卡,Exness交易应用：了解业绩统计选项卡,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/exness交易应用-交易账户设置,/exness-trader/exness交易应用-交易账户设置,Exness交易应用：交易账户设置,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/macos-用户如何登录-mt4-mt5,/exness-trader/macos-用户如何登录-mt4-mt5,macOS 用户如何登录 MT4/MT5,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/vps-被冻结后还能解冻吗,/exness-trader/vps-被冻结后还能解冻吗,VPS 被冻结后还能解冻吗？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/不同类型的账户是否有地区限制,/exness-trader/不同类型的账户是否有地区限制,不同类型的账户是否有地区限制？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/为什么-exness-交易应用上的支付方式比网页版个人专区,/exness-trader/为什么-exness-交易应用上的支付方式比网页版个人专区,为什么 Exness 交易应用上的支付方式比网页版个人专区中的少？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/为什么在交易者计算器内有些品种不能设置杠杆,/exness-trader/为什么在交易者计算器内有些品种不能设置杠杆,为什么在交易者计算器内有些品种不能设置杠杆？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/为什么我个人专区中可用保证金的金额与交易平台,/exness-trader/为什么我个人专区中可用保证金的金额与交易平台,为什么我个人专区中可用保证金的金额与交易平台上可用保证金的金额不一样？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/为什么我的对冲单突然要我缴纳保证金,/exness-trader/为什么我的对冲单突然要我缴纳保证金,为什么我的对冲单突然要我缴纳保证金？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/为什么我的所有交易一开始都处于亏损状态,/exness-trader/为什么我的所有交易一开始都处于亏损状态,为什么我的所有交易一开始都处于亏损状态？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/为什么我的文件被拒绝了,/exness-trader/为什么我的文件被拒绝了,为什么我的文件被拒绝了？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/为什么我的账户上有资金，交易账户却显示余额为,/exness-trader/为什么我的账户上有资金，交易账户却显示余额为,为什么我的账户上有资金，交易账户却显示余额为零？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/为什么有时候股票的保证金会比平时高,/exness-trader/为什么有时候股票的保证金会比平时高,为什么有时候股票的保证金会比平时高？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/为什么进行内部转账时会收到请求金额过大的,/exness-trader/为什么进行内部转账时会收到请求金额过大的,为什么进行内部转账时会收到“请求金额过大”的错误提示？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/了解做市商,/exness-trader/了解做市商,了解做市商,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/交易品种的订单报价是如何计算的,/exness-trader/交易品种的订单报价是如何计算的,交易品种的订单报价是如何计算的？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/交易新手最适合什么账户类型,/exness-trader/交易新手最适合什么账户类型,交易新手最适合什么账户类型？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/交易繁忙trade-context-busy,/exness-trader/交易繁忙trade-context-busy,交易繁忙（Trade Context Busy）,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/什么是偏差,/exness-trader/什么是偏差,什么是偏差？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/以账户货币计算盈亏时，应使用何种价格进行换算,/exness-trader/以账户货币计算盈亏时，应使用何种价格进行换算,以账户货币计算盈亏时，应使用何种价格进行换算？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/使用多张银行卡还可以进行出入金操作吗,/exness-trader/使用多张银行卡还可以进行出入金操作吗,使用多张银行卡还可以进行出入金操作吗？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/保障您的vps安全,/exness-trader/保障您的vps安全,保障您的VPS安全,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/先锋账户,/exness-trader/先锋账户,先锋账户,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/先锋账户上都可以交易哪些品种,/exness-trader/先锋账户上都可以交易哪些品种,先锋账户上都可以交易哪些品种？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/入金款项仍未到账,/exness-trader/入金款项仍未到账,入金款项仍未到账,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/冬季交易时间,/exness-trader/冬季交易时间,冬季交易时间,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/出入金最快的方法是什么,/exness-trader/出入金最快的方法是什么,出入金最快的方法是什么？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/出现交易量无效的错误提示,/exness-trader/出现交易量无效的错误提示,出现“交易量无效”的错误提示,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
exness-trader/出金为何退回了我的-exness-账户,/exness-trader/出金为何退回了我的-exness-账户,出金为何退回了我的 Exness 账户？,0,0,,D-删除候选,16个月零曝光：删除或 301 合并
