分类,文档数,有点击的文档数,总点击,总曝光,点击效率(点击/文档),曝光效率(曝光/文档)
trader/入金与出金,73,17,39,8705,0.534,119.2
trader/其他,8,1,1,3818,0.125,477.2
trader/交易平台与工具,75,13,38,1894,0.507,25.3
trader/账户类型与选择,34,7,19,1396,0.559,41.1
未分类（首页/独立页）,12,5,5,1386,0.417,115.5
trader/交易品种与合约,57,7,9,1338,0.158,23.5
trader/交易时间与市场规则,16,2,14,780,0.875,48.8
trader/账户管理与安全,41,2,3,577,0.073,14.1
agent/计划与入门,22,2,2,433,0.091,19.7
trader/交易操作与订单,31,1,2,378,0.065,12.2
agent/资金与平台安全,14,2,2,232,0.143,16.6
trader/错误与故障排除,23,4,4,225,0.174,9.8
agent/佣金与返佣,17,2,2,165,0.118,9.7
agent/个人专区与报告,3,0,0,1,0.0,0.3
